geoid10,population,hospital,library,school,supermarket
245100104001003,75,2536.8,824.5,689.8,303.1
245100104001004,94,2479.9,893.7,756.5,301.8
245100104001005,73,2423.3,931.0,810.9,349.3
245100104001006,79,2355.9,986.8,877.9,405.2
245100104001007,77,2300.2,995.9,929.3,414.2
245100104001009,58,2594.1,694.6,890.0,128.5
245100104001010,22,2665.3,628.1,712.7,196.5
245100104001011,76,2700.5,591.8,676.2,234.5
245100104001012,69,2778.4,512.3,602.9,312.3
245100104001013,49,2804.6,446.5,741.4,266.1
245100104001015,2,2608.9,608.7,906.0,3.2
245100104001019,28,2863.9,419.7,860.9,278.7
245100104001020,8,2854.6,485.4,927.9,327.2
245100104002000,32,1846.0,1386.3,661.6,368.6
245100104002001,40,1782.7,1451.3,597.0,303.6
245100104002002,41,1751.8,1494.4,564.6,270.3
245100104002003,45,1700.9,1497.3,512.5,216.8
245100104002004,85,1853.8,1375.0,662.7,342.1
245100104002005,44,1890.5,1406.5,703.1,382.5
245100104002006,91,1912.6,1476.3,726.8,433.6
245100104002007,36,2010.3,1382.7,824.6,507.9
245100104002008,8,2009.1,1381.5,823.4,506.6
245100104002009,66,1954.0,1302.0,768.2,449.5
245100104002010,44,1970.8,1285.2,785.1,466.3
245100104002013,23,2038.9,1217.1,853.1,534.4
245100104002014,50,2102.8,1153.2,917.1,571.5
245100104002015,14,2270.7,1078.3,989.4,496.6
245100104002016,16,2167.4,1145.3,980.1,563.7
245100104002017,3,2074.3,1116.4,883.2,534.7
245100104002018,263,2327.5,917.8,1097.6,336.1
245100104002020,63,1967.8,1332.6,776.7,456.1
245100104002021,7,1837.5,1358.7,646.5,325.9
245100104002022,36,2278.9,923.3,1026.4,341.6
245100104002023,103,2180.4,1151.0,989.4,569.3
245100104002024,850,2905.5,644.6,1088.0,404.3
245100105001000,91,1156.9,1045.2,368.7,847.4
245100105001001,29,1063.3,1188.6,279.3,703.5
245100105001002,63,1052.6,1230.1,268.6,662.3
245100105001003,63,1180.6,1350.2,396.7,536.2
245100105001004,67,1230.4,1300.2,446.4,587.6
